InvoiceID,Date,Branch,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,Total,Payment,COGS,GrossMargin,GrossIncome,Rating
INV297314,2025-03-31,C,Member,Male,Health and beauty,66.45,7,17.41,941.07,Credit card,605.33,5.43,86.08,5.1
INV364860,2023-10-05,A,Normal,Female,Health and beauty,12.1,3,3.52,188.53,Credit card,575.54,12.98,177.27,9.1
INV468770,2025-01-29,A,Normal,Female,Health and beauty,20.01,1,2.58,302.3,Credit card,446.4,12.56,34.73,1.4
INV513474,2024-05-13,C,Member,Female,Fashion accessories,27.88,8,2.18,836.69,Credit card,491.99,7.17,138.12,2.5
INV614430,2024-06-04,B,Normal,Male,Food and beverages,65.36,6,2.53,52.97,Credit card,321.17,9.78,147.39,6.3
INV118465,2025-03-23,B,Normal,Female,Food and beverages,21.55,5,17.35,445.91,Cash,532.98,14.09,31.62,1.1
INV726185,2025-04-18,B,Normal,Female,Fashion accessories,35.44,8,7.64,30.46,Ewallet,276.09,15.39,99.38,6.2
INV255001,2023-12-07,A,Normal,Male,Fashion accessories,17.57,8,3.95,117.89,Credit card,705.24,12.8,107.53,5.6
INV854881,2023-11-04,C,Member,Male,Fashion accessories,28.14,6,9.6,281.75,Ewallet,512.4,6.25,63.82,2.5
INV489108,2025-01-15,C,Normal,Male,Fashion accessories,99.97,3,10.81,134.08,Ewallet,402.71,16.34,94.59,6.8
INV204196,2024-03-07,C,Member,Male,Fashion accessories,7.91,8,16.8,568.95,Ewallet,704.46,12.64,174.79,9.1
INV624106,2023-10-13,A,Normal,Female,Fashion accessories,55.14,1,18.81,587.69,Credit card,560.22,4.6,54.37,8.4
INV840802,2023-08-01,A,Normal,Female,Fashion accessories,38.32,4,10.84,578.65,Credit card,455.3,9.49,199.12,5.1
INV633689,2024-12-06,B,Normal,Female,Food and beverages,68.11,3,3.12,52.65,Ewallet,293.5,9.53,34.59,6.0
INV293044,2024-08-07,B,Member,Male,Health and beauty,99.16,9,3.26,864.47,Credit card,747.77,13.4,84.43,1.3
,2024-07-24,C,Normal,Male,Electronic accessories,95.54,2,1.86,325.64,Ewallet,309.06,7.82,189.11,2.5
INV418450,2025-06-24,B,Normal,Female,Home and lifestyle,29.15,7,6.64,608.47,Ewallet,741.21,16.89,174.87,8.3
INV942778,2024-01-09,A,Normal,Female,Home and lifestyle,23.15,5,3.85,315.6,Cash,145.79,18.01,95.94,2.0
INV806095,2024-03-10,B,Member,Male,Electronic accessories,8.02,3,14.96,40.29,Credit card,459.66,5.68,24.2,5.4
INV834798,2024-02-28,C,Normal,Male,Food and beverages,56.44,8,11.36,422.65,Cash,541.64,17.72,43.07,8.0
INV924833,2023-10-10,B,Member,Female,Sports and travel,54.1,8,1.5,143.6,Ewallet,448.71,4.77,133.21,3.3
INV970314,2024-12-03,C,Member,Female,Food and beverages,11.26,3,3.95,802.63,Cash,417.28,7.86,54.99,8.9
INV683439,2025-04-05,A,Member,Female,Fashion accessories,78.82,6,18.01,708.26,Credit card,523.22,10.98,143.3,8.5
INV384979,2025-06-03,A,Normal,Female,Fashion accessories,46.26,3,16.44,671.0,Ewallet,65.86,10.78,131.62,9.5
INV255578,2024-02-28,B,Normal,Female,Home and lifestyle,62.03,5,9.45,714.18,Credit card,635.51,14.25,137.79,2.8
INV895862,2025-01-26,A,Member,Male,Electronic accessories,72.35,6,8.33,817.17,Credit card,696.28,18.15,80.58,5.9
INV147989,2024-04-24,C,Member,Female,Fashion accessories,6.0,8,0.51,256.99,Credit card,146.24,17.55,163.07,6.9
INV153047,2025-05-08,B,Member,Female,Food and beverages,23.12,6,2.75,322.54,Ewallet,35.43,7.48,114.62,3.5
INV976781,2024-11-06,A,Normal,Male,Fashion accessories,6.92,9,15.68,18.39,Ewallet,185.8,14.8,89.11,8.1
INV203980,2024-01-22,C,Member,Female,Electronic accessories,50.58,7,19.44,104.51,Credit card,696.44,13.7,138.08,8.9
INV996915,2025-03-28,A,Normal,Female,Electronic accessories,23.6,7,6.95,180.95,Credit card,761.65,10.64,159.35,5.8
INV665433,2024-01-22,B,Member,Male,Sports and travel,49.97,2,19.06,118.14,Cash,320.57,14.76,152.11,1.6
INV769924,2024-10-24,B,Normal,Male,Home and lifestyle,3.7,1,1.69,240.8,Credit card,244.7,12.18,139.86,7.1
INV124119,,C,Normal,Male,Food and beverages,99.5,1,2.05,946.73,Cash,379.63,15.57,168.17,3.7
INV358559,2023-08-01,C,Normal,Male,Electronic accessories,69.64,6,9.92,966.46,Ewallet,209.94,13.54,56.61,4.7
INV259689,2024-10-30,A,Normal,Female,Home and lifestyle,78.18,5,1.89,32.55,Ewallet,750.89,19.77,29.99,5.3
INV218192,2025-01-02,B,Member,Male,Sports and travel,46.39,8,9.1,449.33,Cash,744.52,12.54,108.01,3.3
INV591765,2023-09-21,A,Member,Female,Fashion accessories,77.14,7,8.66,,Cash,145.55,6.09,164.65,8.8
INV152009,2023-12-24,C,Member,Male,Food and beverages,71.06,8,12.35,-740.67,Ewallet,278.76,9.84,164.43,7.9
INV647680,2023-08-03,B,Member,Male,Health and beauty,70.18,6,11.41,147.68,Ewallet,501.03,8.73,196.32,8.7
INV772842,2024-03-21,C,Normal,Male,Sports and travel,19.69,5,0.64,404.37,Ewallet,723.66,14.39,124.91,7.1
INV566928,2024-12-14,B,Normal,Male,Electronic accessories,40.18,7,6.83,135.12,Ewallet,128.78,4.24,158.35,7.8
INV107349,2024-10-12,C,Normal,Male,Home and lifestyle,2.52,1,18.41,510.57,Cash,631.33,10.4,92.45,8.3
INV754828,2025-02-17,B,Member,Female,Sports and travel,26.13,5,11.57,422.83,Cash,646.74,19.53,118.89,9.2
INV114813,2025-02-18,A,Member,Female,Sports and travel,85.66,8,11.03,818.66,Credit card,591.1,8.79,102.85,3.5
INV418660,2024-09-06,A,Normal,Female,Food and beverages,18.36,2,5.24,692.49,Cash,16.28,4.39,123.66,1.6
INV556053,2025-04-03,B,Member,Male,Sports and travel,44.04,2,5.57,842.25,Credit card,566.45,19.59,148.29,6.7
INV277491,2024-10-16,B,Normal,Female,Sports and travel,53.64,6,4.76,620.55,Cash,461.47,14.9,138.55,7.8
INV972087,2023-07-27,A,Normal,Male,Food and beverages,36.04,7,8.08,596.56,Cash,529.03,19.04,175.29,4.8
INV469606,2024-09-08,C,Member,Female,Food and beverages,22.64,7,8.4,357.9,Credit card,309.27,5.67,44.3,1.9
INV289710,2024-02-07,C,Normal,Male,Health and beauty,45.82,8,17.85,67.07,Cash,257.2,11.8,54.42,6.7
INV886043,2025-03-05,C,Member,Male,Fashion accessories,57.91,2,12.22,596.39,Ewallet,71.3,8.12,104.94,4.3
INV942204,2024-05-01,B,Normal,Male,Sports and travel,68.62,1,1.4,475.58,Credit card,213.4,15.89,112.32,9.7
INV905747,2024-10-02,B,Normal,Male,Fashion accessories,95.69,7,12.79,516.52,Ewallet,424.23,10.67,58.34,9.3
INV674088,2023-10-18,C,Normal,Male,Sports and travel,43.74,2,7.11,648.11,Cash,177.24,4.68,141.94,4.8
INV875216,2025-04-18,A,Member,Female,Home and lifestyle,13.22,4,1.57,259.52,Cash,681.87,16.26,172.09,6.4
INV909385,2023-08-30,B,Member,Male,Electronic accessories,84.17,2,11.26,357.86,Ewallet,338.38,4.24,190.47,3.1
INV730570,2023-12-03,C,Normal,Male,Home and lifestyle,63.48,8,4.16,911.61,Credit card,128.68,17.67,64.07,4.0
INV833460,2023-07-18,C,Member,Female,Food and beverages,59.06,6,7.53,278.3,Ewallet,751.97,5.76,53.27,2.0
INV157902,2025-04-30,A,Member,Male,Electronic accessories,74.37,3,14.18,372.06,Ewallet,58.77,19.87,142.33,5.2
INV399786,2025-01-18,C,Member,Female,Sports and travel,61.04,3,4.01,733.05,Credit card,528.03,8.46,14.14,7.2
INV786603,2025-01-24,C,Normal,Male,Electronic accessories,57.63,8,15.5,437.63,Ewallet,669.47,6.36,48.65,7.4
INV136800,2025-06-07,B,Normal,Male,Health and beauty,19.05,4,1.11,43.98,Ewallet,498.21,15.98,183.26,5.4
INV470086,2023-11-30,C,Normal,Female,Sports and travel,16.85,5,7.69,300.39,Ewallet,467.17,8.03,111.7,9.3
INV134270,2024-04-05,A,Normal,Female,Food and beverages,26.64,1,11.24,768.48,Credit card,536.9,8.17,197.53,1.3
INV457283,2025-01-27,C,Normal,Male,Sports and travel,99.72,6,18.18,545.12,Credit card,490.05,18.0,90.15,9.4
INV134555,2025-04-02,B,Normal,Female,Home and lifestyle,50.87,6,5.43,44.66,Cash,274.06,10.21,129.55,6.3
INV875240,2025-05-10,C,Normal,Female,Home and lifestyle,50.49,5,18.84,152.57,Credit card,271.11,5.05,137.78,6.7
INV826197,2024-05-03,A,Member,Male,Electronic accessories,90.79,8,9.21,799.22,Credit card,766.12,5.38,169.25,2.4
INV897772,2024-02-12,B,Normal,Female,Fashion accessories,99.1,1,1.23,994.13,Ewallet,461.85,12.67,127.76,6.5
INV984196,2024-06-14,C,Member,Female,Fashion accessories,84.82,8,15.08,161.64,Cash,780.54,7.76,156.44,6.7
INV822634,2023-12-19,A,Member,Male,Food and beverages,84.33,1,9.66,897.24,Credit card,457.5,19.04,159.81,9.0
INV649479,2024-04-20,A,Normal,Male,Fashion accessories,29.6,4,8.15,867.27,Cash,703.86,5.67,176.95,9.6
INV408632,2024-07-21,C,Normal,Male,Health and beauty,97.46,6,10.26,42.38,Ewallet,336.44,16.9,194.41,7.5
INV371384,2023-07-11,B,Normal,Male,,26.81,4,6.67,754.65,Cash,366.36,15.53,154.61,5.4
INV894314,2023-09-29,C,Member,Female,Sports and travel,13.78,9,3.66,367.54,Ewallet,792.81,17.57,15.94,2.4
INV145084,2024-08-04,B,Member,Male,Food and beverages,50.72,3,9.98,492.92,Cash,711.67,8.43,63.35,2.1
INV999538,2023-07-22,A,Member,Female,Home and lifestyle,48.07,6,7.38,620.34,Credit card,753.77,10.64,123.51,1.1
INV416349,2024-06-07,B,Normal,Male,Home and lifestyle,7.53,1,13.08,461.16,Ewallet,782.37,15.25,42.19,1.8
INV468671,2024-07-18,B,Member,Male,Fashion accessories,54.28,4,9.91,549.45,Ewallet,158.95,6.92,110.39,5.6
INV844270,2024-03-18,A,Member,Female,Food and beverages,3.99,4,4.59,394.35,Cash,713.23,10.7,191.23,4.8
INV923034,2024-09-18,A,Normal,Female,Fashion accessories,95.37,4,12.46,284.77,Credit card,64.22,15.53,94.39,3.9
INV347539,2024-06-18,B,Member,Female,Health and beauty,1.94,8,8.19,351.17,Credit card,278.78,11.96,139.76,4.7
INV684762,2024-02-27,A,Member,Male,Sports and travel,56.25,6,9.89,59.18,Ewallet,790.73,10.12,160.44,1.0
INV702713,2023-09-21,A,Member,Female,Home and lifestyle,25.96,9,6.49,751.57,Cash,273.7,8.01,62.16,1.7
INV900850,2023-09-04,C,Normal,Female,Electronic accessories,18.7,7,10.8,702.03,Credit card,354.27,5.91,109.67,6.7
INV262663,2024-12-04,C,Normal,Male,Home and lifestyle,16.83,4,12.68,98.99,Ewallet,427.75,14.88,146.28,5.6
INV520889,2024-09-06,C,Normal,Male,Electronic accessories,10.89,7,2.24,303.91,Credit card,280.3,12.85,10.62,7.4
INV574613,2024-09-22,B,Member,Female,Health and beauty,36.0,4,3.77,625.19,Cash,243.45,18.33,195.85,1.7
INV390733,2023-09-22,A,Member,Female,Fashion accessories,34.19,6,9.69,615.99,Credit card,635.68,11.37,29.14,7.9
INV946242,2024-01-28,C,Member,Female,Fashion accessories,71.36,7,17.91,831.0,Cash,321.89,4.72,12.9,4.7
INV578782,2023-09-24,C,Normal,Female,Fashion accessories,9.74,8,17.52,52.38,Credit card,587.59,5.32,199.37,1.8
INV998869,2023-08-06,C,Normal,Male,Health and beauty,56.16,6,10.61,830.58,Cash,623.84,9.97,110.33,6.6
INV337282,2025-06-11,A,Member,Male,Sports and travel,94.05,7,16.36,708.67,Credit card,160.02,5.19,58.18,1.2
INV286269,2024-10-13,A,Normal,Female,Sports and travel,32.29,1,9.23,163.7,Credit card,367.63,13.95,26.61,2.4
INV207440,2024-09-13,B,Normal,Female,Electronic accessories,17.73,4,18.84,990.27,Cash,425.3,9.54,23.24,2.3
INV412336,2024-08-03,B,Member,Male,Fashion accessories,79.32,7,5.2,691.83,Ewallet,330.85,9.18,29.14,8.6
INV980535,2025-03-12,A,Normal,Male,Health and beauty,62.91,7,3.28,202.97,Cash,429.03,6.52,24.83,8.0
INV137176,2024-03-28,A,Normal,Male,Health and beauty,90.57,9,14.34,150.42,Credit card,75.72,13.25,103.23,8.8
INV408209,,B,Normal,Male,,12.18,7,18.83,128.71,Cash,147.08,7.07,195.31,3.0
INV386609,2023-12-05,C,Normal,Female,Home and lifestyle,8.77,1,11.96,817.34,Ewallet,139.51,14.09,163.44,8.5
,2023-10-10,B,Member,Male,Food and beverages,93.97,6,7.27,85.71,Credit card,495.38,15.04,80.03,8.0
INV754393,2025-02-10,B,Normal,Male,Sports and travel,8.65,2,13.36,533.0,Credit card,651.45,18.99,51.65,9.2
INV837641,2024-07-21,A,Normal,Male,Food and beverages,33.54,5,11.84,989.43,Ewallet,310.83,12.26,54.91,3.3
INV727053,2024-12-02,B,Normal,Female,Electronic accessories,33.12,9,12.4,385.95,Credit card,503.02,15.8,37.02,9.1
INV882507,2025-06-07,B,Normal,Male,Electronic accessories,67.73,9,3.66,846.26,Cash,122.39,17.89,171.43,8.2
INV554346,2025-06-05,B,Normal,Male,Sports and travel,52.05,2,9.92,731.65,Ewallet,418.58,13.41,33.95,6.2
INV160470,2024-08-11,A,Member,Male,Health and beauty,99.18,7,16.89,101.05,Credit card,300.4,10.22,86.91,4.8
INV978154,2023-08-16,B,Member,Male,Electronic accessories,95.09,4,0.75,737.26,Ewallet,19.49,19.01,47.58,8.2
INV266794,2025-06-17,C,Member,Female,Health and beauty,15.16,9,9.22,625.91,Credit card,164.65,10.33,27.21,4.7
INV368358,2024-05-02,B,Normal,Female,Food and beverages,92.51,3,2.53,217.53,Credit card,460.42,4.87,198.26,1.4
INV323761,2025-01-06,A,Normal,Male,Fashion accessories,10.03,5,19.89,,Cash,701.25,5.63,146.18,6.9
INV507622,2023-10-19,A,Member,Female,Food and beverages,68.43,1,1.52,351.57,Ewallet,49.92,18.87,193.14,4.7
INV798945,2024-07-07,A,Member,Female,Electronic accessories,9.24,2,1.43,885.57,Credit card,85.47,6.34,28.4,6.3
INV391291,2023-08-29,B,Member,Female,Health and beauty,66.65,8,4.55,295.96,Cash,122.09,5.99,175.94,8.3
INV472514,2024-06-08,B,Normal,Female,Electronic accessories,93.73,8,15.22,675.42,Cash,323.48,4.62,112.3,4.8
INV360790,2023-09-28,A,Member,Male,Home and lifestyle,3.7,2,15.6,414.26,Cash,72.19,5.93,192.96,1.3
INV853453,2023-11-02,A,Member,Male,Food and beverages,23.82,4,13.07,769.8,Ewallet,306.81,5.36,80.41,3.5
INV939566,2023-08-13,A,Normal,Male,Fashion accessories,57.76,3,12.67,943.71,Cash,348.82,9.34,14.78,5.9
INV469793,2024-02-05,A,Normal,Female,Home and lifestyle,30.7,4,8.03,788.44,Credit card,776.06,9.89,95.15,8.7
INV475145,2024-05-16,C,Normal,Female,Home and lifestyle,31.52,9,16.24,381.33,Credit card,736.89,4.36,29.54,4.4
INV306088,2023-12-14,B,Member,Female,Home and lifestyle,63.83,7,7.96,950.08,Credit card,269.49,7.2,63.37,4.2
INV969243,,C,Member,Female,Health and beauty,69.63,2,14.93,212.63,Credit card,139.64,5.55,28.14,7.5
INV572365,2024-06-25,C,Member,Female,Home and lifestyle,38.99,4,2.95,178.73,Cash,493.3,10.83,66.91,5.7
INV186796,2025-01-14,A,Normal,Female,Health and beauty,48.88,9,9.09,761.94,Ewallet,216.68,5.3,122.1,1.4
INV634160,2025-02-10,C,Member,Male,Home and lifestyle,7.31,5,10.9,685.25,Ewallet,389.8,4.33,188.3,1.5
INV205492,2023-09-05,B,Member,Female,Health and beauty,13.34,6,0.64,453.91,Ewallet,595.63,9.71,84.96,3.6
INV520233,2024-07-06,A,Normal,Female,Fashion accessories,27.1,5,14.64,961.45,Credit card,245.05,11.11,187.27,6.3
INV790559,2023-08-23,C,Member,Female,,9.53,8,7.25,42.04,Credit card,357.08,8.84,150.61,5.4
INV631538,2023-11-29,B,Member,Male,Health and beauty,26.71,5,18.4,952.81,Ewallet,629.79,8.47,124.89,7.5
INV639510,2024-12-02,C,Member,Female,Health and beauty,99.05,1,4.23,599.39,Ewallet,230.02,4.14,177.79,6.6
INV161637,2024-12-27,A,Member,Male,Health and beauty,47.29,2,18.63,676.28,Ewallet,421.61,12.89,57.99,6.9
INV730951,2024-08-31,A,Normal,Male,Sports and travel,54.85,1,13.16,473.88,Cash,725.27,17.66,162.41,6.2
INV135331,2024-09-27,B,Normal,Female,Electronic accessories,26.48,5,10.24,751.87,Ewallet,294.52,8.67,193.74,2.6
INV264437,2024-02-05,B,Normal,Male,Fashion accessories,24.76,1,3.23,775.9,Credit card,757.9,5.32,184.99,4.1
INV356258,2025-03-01,C,Normal,Female,Sports and travel,98.15,2,15.86,612.85,Ewallet,456.43,7.65,51.14,1.2
INV190499,2024-09-25,A,Member,Male,Sports and travel,55.26,6,2.0,-466.46,Ewallet,742.02,16.05,66.67,8.1
INV210613,2024-12-26,A,Normal,Female,Fashion accessories,49.35,1,11.47,140.81,Cash,285.84,18.68,140.89,5.7
INV394709,2024-01-14,B,Normal,Male,Food and beverages,79.09,2,14.41,201.69,Credit card,514.69,18.21,116.22,9.3
INV461653,2023-08-16,A,Normal,Male,Food and beverages,29.81,8,0.65,377.66,Ewallet,42.09,16.63,127.69,7.0
INV743924,2025-06-12,A,Member,Female,Fashion accessories,69.97,2,18.1,697.17,Ewallet,600.29,19.87,182.03,4.8
INV969287,2024-11-18,C,Member,Female,Health and beauty,84.46,2,13.2,339.62,Cash,439.88,17.84,70.61,1.3
INV310963,2024-12-18,B,Normal,Male,Fashion accessories,63.68,1,12.66,591.83,Credit card,359.6,13.46,149.93,4.3
INV877095,2025-04-04,C,Member,Male,Electronic accessories,80.2,2,17.52,827.81,Credit card,700.57,6.43,138.67,4.9
INV552755,2025-02-11,C,Normal,Male,Sports and travel,55.14,8,6.54,619.09,Credit card,648.37,8.13,107.75,8.9
INV657553,2025-05-21,C,Normal,Female,,60.9,6,14.55,828.81,Credit card,100.38,15.67,57.81,5.2
INV856443,2024-12-22,B,Member,Male,Health and beauty,33.33,7,14.23,62.48,Cash,790.92,18.7,101.09,5.8
,2023-12-24,C,Member,Female,Home and lifestyle,62.69,6,7.56,556.71,Ewallet,733.96,12.28,75.77,3.3
INV967109,2024-07-08,B,Normal,Male,Home and lifestyle,35.44,1,16.7,632.42,Cash,799.11,16.11,154.22,9.7
INV648450,2024-11-11,A,Member,Male,Home and lifestyle,10.71,4,17.4,706.7,Cash,547.36,19.48,169.72,3.6
INV666058,2025-04-04,A,Member,Male,Sports and travel,48.46,8,6.16,932.97,Cash,524.61,8.43,176.75,3.3
INV174448,2023-08-21,C,Member,Female,Electronic accessories,6.36,9,17.21,366.37,Cash,246.73,17.5,52.22,3.8
INV797381,2024-12-08,B,Normal,Male,Food and beverages,22.45,4,18.07,819.84,Credit card,228.53,11.82,194.88,8.4
INV458220,2025-05-10,A,Member,Male,Fashion accessories,23.21,2,5.2,,Cash,237.05,18.99,167.81,2.7
INV386966,2025-05-16,B,Normal,Male,Health and beauty,38.93,2,11.97,737.33,Cash,453.16,18.61,38.09,6.3
INV991982,2024-08-21,B,Normal,Male,Food and beverages,70.88,8,6.99,148.76,Ewallet,45.11,14.36,135.15,3.6
INV815356,2025-05-04,A,Normal,Female,Fashion accessories,60.86,2,13.35,939.44,Credit card,606.32,19.51,185.21,3.6
INV565913,2024-02-19,C,Member,Female,Home and lifestyle,38.12,5,10.67,166.9,Ewallet,260.91,18.2,163.26,5.8
INV261553,2024-01-29,B,Normal,Male,Food and beverages,81.84,4,4.42,295.6,Cash,215.42,14.45,169.95,4.8
INV847488,2024-05-13,C,Normal,Male,Electronic accessories,30.97,1,0.91,934.19,Credit card,754.28,8.65,166.49,8.8
INV677567,2023-10-21,B,Normal,Male,Food and beverages,31.09,2,2.83,613.45,Credit card,260.22,11.86,163.91,3.1
INV930200,2024-12-30,C,Member,Male,Home and lifestyle,81.72,8,19.88,643.97,Credit card,765.26,5.1,36.42,1.6
INV934585,2024-11-04,C,Member,Male,Health and beauty,20.85,9,12.1,180.46,Cash,297.22,12.47,148.43,5.8
INV652668,2024-12-13,B,Member,Female,Fashion accessories,31.9,6,18.49,246.03,Ewallet,625.63,14.28,119.35,9.1
INV202852,2024-09-20,C,Normal,Female,Electronic accessories,60.09,4,5.45,570.63,Credit card,111.0,8.03,151.73,8.3
INV917059,2024-11-26,A,Normal,Female,Food and beverages,61.43,1,11.64,81.31,Cash,739.96,13.08,75.56,2.2
INV483442,2025-05-21,A,Member,Male,Food and beverages,32.5,5,15.88,,Ewallet,591.8,17.35,138.61,5.3
INV886467,2023-10-25,A,Member,Male,Health and beauty,62.64,8,4.21,734.56,Credit card,584.95,18.29,33.54,9.5
INV186083,2024-02-17,B,Member,Male,Sports and travel,34.79,2,2.17,,Cash,743.55,16.76,192.11,5.3
INV530895,2025-03-09,A,Normal,Female,Sports and travel,10.93,7,14.49,842.09,Credit card,404.77,17.58,10.75,4.9
INV702282,2025-05-04,B,Normal,Male,Food and beverages,18.96,7,13.23,,Cash,455.98,17.82,179.76,5.1
INV512812,2024-07-25,B,Normal,Male,Health and beauty,59.09,4,3.59,34.15,Credit card,170.63,18.12,32.66,2.1
INV371075,2024-05-10,B,Normal,Female,Food and beverages,31.52,4,3.55,,Credit card,159.46,8.39,86.12,1.4
,2025-03-11,C,Member,Female,Electronic accessories,29.64,5,15.97,120.69,Ewallet,32.1,10.27,12.28,2.4
INV892351,2024-06-16,A,Member,Female,Food and beverages,35.42,1,14.62,457.21,Ewallet,131.16,17.6,149.68,1.5
INV977980,2024-07-02,B,Member,Female,Electronic accessories,79.0,2,18.3,464.43,Cash,593.03,19.04,54.3,5.0
INV479175,2025-05-25,C,Member,Male,Health and beauty,41.44,5,3.92,975.62,Ewallet,7.73,5.65,106.1,9.7
INV346052,2025-04-04,C,Normal,Male,Health and beauty,48.66,5,17.53,294.77,Ewallet,56.38,10.87,35.8,5.4
INV964618,2024-08-02,A,Normal,Female,Home and lifestyle,14.08,5,17.0,985.65,Ewallet,680.82,11.57,21.94,2.2
INV619195,2023-09-10,A,Member,Male,Sports and travel,62.6,1,15.73,314.96,Ewallet,245.31,5.63,143.83,1.3
INV365722,2024-07-01,C,Member,Female,Fashion accessories,16.66,2,19.54,830.06,Ewallet,309.46,4.97,77.77,7.0
INV130968,2024-08-09,A,Normal,Male,Food and beverages,75.56,3,17.41,380.18,Cash,202.04,11.08,103.0,7.0
INV748530,2023-10-11,B,Member,Male,Fashion accessories,39.82,5,15.12,290.65,Ewallet,200.1,17.05,179.08,2.7
INV574308,2025-04-18,B,Member,Male,Electronic accessories,24.89,3,8.23,861.83,Credit card,188.03,8.85,141.54,6.8
INV402398,2024-11-19,B,Normal,Female,Sports and travel,15.46,8,11.02,747.8,Credit card,490.13,19.99,138.05,3.5
INV140553,2024-08-21,A,Normal,Male,Home and lifestyle,7.46,1,15.38,899.38,Credit card,375.3,6.55,60.33,4.7
INV797300,2024-12-18,A,Normal,Female,Health and beauty,25.1,5,3.21,288.66,Cash,490.61,6.56,84.31,2.9
INV437426,2023-07-11,C,Normal,Male,Health and beauty,25.52,4,8.03,478.06,Credit card,662.34,6.79,159.74,2.3
INV837231,2024-07-17,C,Member,Female,Health and beauty,77.42,3,4.83,206.95,Credit card,454.66,17.56,107.07,3.9
INV667315,2023-07-30,A,Normal,Male,Electronic accessories,28.56,4,14.27,209.79,Credit card,509.32,14.47,20.61,3.2
INV417766,2023-09-28,C,Member,Female,Sports and travel,29.06,3,5.32,943.75,Cash,572.94,16.48,43.44,8.9
INV921209,,B,Member,Male,Electronic accessories,44.4,3,7.98,250.86,Ewallet,474.67,17.25,37.22,7.4
INV749091,2024-09-13,C,Normal,Male,Food and beverages,56.32,1,13.1,163.02,Credit card,351.05,19.9,15.91,7.0
INV498937,2024-08-08,A,Normal,Male,Food and beverages,51.2,6,12.88,927.79,Cash,38.65,16.8,192.0,6.9
INV290498,2025-01-08,A,Member,Female,Home and lifestyle,27.36,9,17.31,596.1,Credit card,452.55,11.77,42.92,4.8
INV884322,2025-05-20,B,Normal,Male,Fashion accessories,35.67,5,13.85,359.01,Credit card,196.72,6.74,183.98,2.6
